home_location_in_UK,pop_est_christian,pop_est_muslim,pop_est_age,pop_est_immigrants
North,30,20,25,20
South,34,10,29,25
South,30,19,40,9
North,39,29,60,40
North,18,12,18,10
South,61,41,72,55
North,15,20,40,35
South,62,51,35,55
South,31,30,23,31
North,40,20,25,15
North,54,15,32,19
South,60,36,59,34
North,35,15,40,25
South,35,11,30,30
South,70,60,50,20
North,30,19,40,45
North,29,19,41,45
North,41,30,39,15
North,20,8,25,18
North,21,8,25,20
South,31,25,46,35
North,30,30,20,40
South,20,50,24,19
North,67,42,31,11
North,29,29,41,6
North,40,30,20,15
North,60,20,56,35
North,44,13,33,34
North,45,25,45,30
North,50,20,20,30
South,30,20,30,50
South,47,24,56,41
North,45,25,20,30
North,30,40,15,50
North,37,42,52,26
South,30,20,15,50
North,40,15,40,15
North,72,41,61,31
South,19,9,20,49
South,30,20,15,40
North,36,14,34,34
North,40,5,20,30
North,22,15,60,45
South,35,32,18,28
North,52,64,58,34
North,50,25,32,25
South,25,35,30,30
North,5,20,40,25
South,30,15,19,9
North,50,40,27,15
North,45,40,70,30
South,30,20,30,10
South,30,27,40,30
North,40,60,30,25
North,20,15,15,2
North,29,11,20,9
North,23,20,37,36
North,15,4,14,13
North,55,30,60,20
North,40,21,29,42
North,36,26,32,35
South,79,31,52,22
North,60,25,37,30
North,40,18,26,22
North,10,3,28,16
North,20,17,48,17
South,30,35,42,30
South,34,12,23,15
South,30,39,50,60
North,40,17,27,29
North,40,30,30,22
North,40,15,40,20
South,40,45,20,50
North,39,25,34,15
South,30,19,45,45
South,40,15,35,40
North,43,10,20,10
South,30,40,45,35
North,42,25,47,30
South,23,14,31,19
North,36,45,39,45
North,35,15,30,20
North,65,25,60,35
North,50,25,45,35
North,72,40,28,24
North,40,5,8,8
South,34,19,24,19
South,48,27,70,38
North,40,70,60,20
North,30,15,6,6
South,48,30,42,22
South,42,15,52,30
North,50,29,16,20
South,15,20,40,15
South,35,6,13,32
South,50,30,20,30
North,41,18,27,14
North,25,20,40,35
South,30,9,20,5
North,36,44,31,26
North,44,29,44,25
North,41,28,15,39
North,20,15,8,30
North,10,11,25,20
South,25,10,26,26
