sibling_order,home_location,home_location_in_UK,attention_check,salary_estimate,prop_preg_u16
only,UK,NW,pass,27000,33
oldest,UK,NW,pass,25000,40
youngest,UK,NW,pass,40000,16
oldest,UK,NW,fail,30000,30
oldest,UK,NW,pass,25000,8
oldest,UK,SE,pass,45000,3
middle,UK,SE,pass,35000,5
middle,Asia,NA,fail,34000,6
oldest,UK,Midlands,pass,45000,7
youngest,UK,SW,pass,24000,11
oldest,UK,NE,pass,35000,7
middle,UK,NW,pass,30000,2
oldest,UK,NW,pass,45000,15
middle,UK,NW,pass,35000,17
oldest,UK,Midlands,pass,35000,25
only,UK,SE,pass,35000,26
youngest,UK,NW,pass,34000,19
oldest,UK,Midlands,pass,30000,4
only,UK,Midlands,pass,30000,30
oldest,UK,NE,pass,60000,30
middle,UK,NW,pass,40000,3
oldest,UK,NW,pass,27000,25
youngest,UK,Midlands,pass,34000,20
youngest,UK,NW,pass,21000,20
only,UK,Midlands,pass,60000,14
oldest,UK,NW,pass,35000,9
oldest,UK,NW,pass,30000,25
oldest,UK,NW,pass,30000,30
oldest,UK,NW,pass,25000,13
oldest,UK,NW,pass,350000,40
oldest,UK,NW,pass,5200,5
oldest,UK,NW,pass,28000,5
youngest,UK,SE,pass,6500,15
oldest,UK,SE,pass,35000,19
oldest,UK,Midlands,pass,25000,8
only,UK,NW,fail,30000,6
middle,UK,Midlands,pass,24000,3
only,UK,NW,pass,33000,1
only,UK,NW,pass,40000,7
oldest,UK,Midlands,pass,35000,7
youngest,UK,NW,pass,30000,15
oldest,UK,NW,pass,33500,1
oldest,UK,NW,pass,35000,5
oldest,UK,NW,pass,27000,4
youngest,UK,NW,pass,30000,17
youngest,UK,NW,fail,32000,9
only,UK,SW,pass,34000,9
youngest,UK,SE,fail,35000,13
middle,UK,NW,pass,30000,27
youngest,UK,NE,pass,25000,8
middle,UK,SE,pass,40000,5
oldest,UK,SW,pass,50000,2
oldest,UK,NW,pass,37000,25
oldest,UK,NW,pass,45000,35
youngest,UK,SE,pass,39000,3
oldest,UK,NW,pass,30000,15
youngest,UK,NW,pass,32000,35
only,UK,NW,pass,21000,32
middle,UK,NW,pass,24000,5
youngest,South America,NA,pass,23000,50
oldest,UK,SE,pass,34000,4
youngest,UK,Midlands,pass,27000,16
youngest,UK,NW,pass,30000,15
middle,UK,SE,pass,33000,2
only,UK,NW,pass,34000,26
only,UK,NA,fail,33000,30
youngest,UK,NW,fail,25000,10
middle,UK,Midlands,pass,45000,15
oldest,UK,NW,fail,25000,5
youngest,UK,NW,pass,24000,8
oldest,Asia,NA,pass,150000,20
oldest,UK,Wales,pass,40000,7
middle,UK,SE,pass,25000,11
oldest,UK,Midlands,pass,60000,5
youngest,UK,NW,pass,30000,1
middle,UK,NW,pass,28000,19
only,UK,NW,pass,30000,3
