sibling_order,home_location,home_location_in_UK,attention_check,salary_estimate
oldest,UK,NW,fail,5555
youngest,UK,NW,pass,25000
youngest,UK,NW,pass,35000
youngest,UK,NW,pass,40000
youngest,UK,NE,pass,25000
youngest,UK,NW,pass,35000
oldest,UK,NW,pass,23000
oldest,UK,SE,pass,26400
middle,Europe (not UK),NA,pass,24000
oldest,UK,SE,pass,40000
oldest,UK,NW,pass,46000
middle,UK,NW,pass,25000
youngest,UK,SE,pass,5000
only,UK,NW,pass,30000
only,Europe (not UK),NA,fail,22000
oldest,UK,NW,pass,45000
oldest,UK,NW,pass,35000
youngest,North America,NA,pass,10000
youngest,Asia,NA,pass,30000
youngest,UK,NW,fail,50000
oldest,UK,NE,pass,40000
oldest,North America,NA,pass,53000
youngest,UK,NW,pass,30000
oldest,Asia,NA,pass,39700
youngest,UK,NW,pass,35000
youngest,UK,NW,pass,35000
oldest,UK,SE,pass,40000
youngest,UK,NW,pass,40000
youngest,UK,NW,pass,35000
oldest,UK,NW,pass,30000
oldest,UK,SE,pass,27000
only,UK,NE,pass,25000
youngest,UK,SW,pass,25000
youngest,UK,NW,pass,20000
oldest,UK,NW,pass,30000
middle,UK,NW,pass,20000
oldest,UK,NW,pass,30000
youngest,UK,Midlands,pass,40000
youngest,UK,SW,pass,5576
youngest,UK,NW,fail,36000
youngest,UK,NW,pass,7000
oldest,UK,Midlands,pass,39000
youngest,UK,SW,fail,45000
youngest,UK,NW,fail,27000
middle,UK,SE,pass,34000
oldest,UK,NE,pass,40000
only,Asia,NA,pass,25000
youngest,UK,NW,pass,15000
oldest,UK,NW,fail,45000
middle,UK,NW,fail,29000
middle,UK,NW,pass,20000
youngest,UK,NW,pass,30000
only,UK,Midlands,pass,8000
youngest,UK,SW,pass,30000
oldest,UK,NW,pass,30000
oldest,UK,SE,pass,30000
oldest,UK,NW,pass,30000
oldest,UK,NE,pass,27000
middle,UK,NW,pass,28000
youngest,UK,SE,pass,37000
only,UK,Midlands,pass,27000
youngest,UK,NW,fail,40000
oldest,UK,NW,pass,30000
oldest,UK,SW,pass,30000
oldest,UK,Wales,pass,23000
oldest,UK,NW,pass,30000
oldest,UK,NW,pass,26000
youngest,UK,NW,pass,36000
youngest,UK,NW,pass,25000
only,UK,SE,fail,25000
middle,UK,NW,pass,30000
oldest,UK,NE,pass,25000
youngest,UK,NW,fail,13500
youngest,UK,NW,fail,25000
middle,UK,NW,pass,36000
oldest,Asia,NA,pass,33000
oldest,UK,Midlands,pass,25000
youngest,UK,NE,pass,32000
middle,UK,NW,fail,25000
youngest,UK,Wales,pass,30000
oldest,Asia,NA,pass,60000
oldest,UK,NW,pass,26000
youngest,UK,NW,pass,30000
middle,UK,NW,pass,35000
middle,UK,NW,pass,35000
youngest,UK,SE,pass,40000
oldest,UK,NW,pass,24000
only,UK,NW,pass,32000
oldest,UK,NW,fail,32000
youngest,UK,SE,pass,30000
youngest,UK,NW,pass,40000
youngest,UK,SE,pass,30000
middle,UK,NW,pass,25000
youngest,UK,Midlands,pass,20000
middle,UK,SE,pass,27000
middle,UK,Midlands,fail,30000
oldest,Asia,NA,pass,30000
only,UK,Midlands,pass,23000
oldest,UK,NW,pass,35000
oldest,UK,NE,pass,27000
youngest,UK,NE,pass,30000
oldest,UK,SE,pass,40000
youngest,UK,SE,pass,27000
youngest,UK,NE,pass,27000
youngest,UK,SE,pass,27000
only,UK,NE,pass,40000
youngest,UK,NW,pass,20000
oldest,UK,NW,pass,5000
oldest,UK,NW,pass,32000
youngest,UK,Midlands,pass,35000
oldest,UK,SE,pass,28000
oldest,UK,SE,fail,20000
oldest,UK,NW,pass,50000
oldest,UK,SE,pass,30000
middle,UK,NW,pass,34000
middle,UK,Midlands,pass,30000
middle,UK,NW,pass,35000
oldest,UK,NW,pass,30000
oldest,UK,Midlands,pass,33000
middle,UK,NW,pass,23000
oldest,UK,NW,pass,38000
youngest,UK,NW,fail,50000
youngest,UK,Midlands,pass,20000
oldest,UK,NW,pass,40000
oldest,UK,SE,pass,32000
only,UK,NW,pass,20000
youngest,UK,SW,pass,20000
middle,UK,SE,pass,30000
