pID,condition,time,avg_time
1,control,5,5
1,compatible,5,5
1,incompatible,5,5
2,control,6,5.33
2,compatible,4,5.33
2,incompatible,6,5.33
3,control,5.74,5.4
3,compatible,4.88,5.4
3,incompatible,5.58,5.4
4,control,8,5.67
4,compatible,3,5.67
4,incompatible,6,5.67
5,control,7.32,7.07
5,compatible,5.55,7.07
5,incompatible,8.35,7.07
6,control,4.98,6.83
6,compatible,5.54,6.83
6,incompatible,9.96,6.83
7,control,5,6
7,compatible,5,6
7,incompatible,8,6
8,control,4,4.33
8,compatible,4,4.33
8,incompatible,5,4.33
9,control,9,7.33
9,compatible,5,7.33
9,incompatible,8,7.33
10,control,4,4.67
10,compatible,5,4.67
10,incompatible,5,4.67
11,control,6,5.67
11,compatible,5,5.67
11,incompatible,6,5.67
12,control,5,4.67
12,compatible,3,4.67
12,incompatible,6,4.67
13,control,6.98,6.25
13,compatible,4.85,6.25
13,incompatible,6.92,6.25
14,control,6.7,7.2
14,compatible,4.97,7.2
14,incompatible,9.92,7.2
15,control,9,9
15,compatible,8,9
15,incompatible,10,9
16,control,5.84,5.8
16,compatible,4.49,5.8
16,incompatible,7.08,5.8
17,control,4.4,4.59
17,compatible,3.33,4.59
17,incompatible,6.03,4.59
18,control,5.36,5.72
18,compatible,3.63,5.72
18,incompatible,8.18,5.72
19,control,4.42,4.9
19,compatible,3.36,4.9
19,incompatible,6.92,4.9
20,control,8,8
20,compatible,7,8
20,incompatible,9,8
21,control,9,7.33
21,compatible,6,7.33
21,incompatible,7,7.33
22,control,5,6.67
22,compatible,6,6.67
22,incompatible,9,6.67
23,control,5,7
23,compatible,7,7
23,incompatible,9,7
24,control,5.02,5.16
24,compatible,3.21,5.16
24,incompatible,7.25,5.16
25,control,5.38,6.01
25,compatible,5.23,6.01
25,incompatible,7.41,6.01
26,control,4.91,4.17
26,compatible,3.78,4.17
26,incompatible,3.83,4.17
27,control,6,7.33
27,compatible,4,7.33
27,incompatible,12,7.33
28,control,18,16
28,compatible,15,16
28,incompatible,15,16
29,control,5.26,5.99
29,compatible,3.24,5.99
29,incompatible,9.47,5.99
30,control,5,5
30,compatible,4,5
30,incompatible,6,5
31,control,5,5.67
31,compatible,4,5.67
31,incompatible,8,5.67
32,control,6.25,6.16
32,compatible,5.08,6.16
32,incompatible,7.16,6.16
33,control,7,6.67
33,compatible,4,6.67
33,incompatible,9,6.67
34,control,8,7.67
34,compatible,6,7.67
34,incompatible,9,7.67
35,control,3.47,4.26
35,compatible,3.54,4.26
35,incompatible,5.76,4.26
36,control,6.21,6.44
36,compatible,5.34,6.44
36,incompatible,7.78,6.44
37,control,5,5.33
37,compatible,4,5.33
37,incompatible,7,5.33
38,control,6.75,5.56
38,compatible,3.57,5.56
38,incompatible,6.37,5.56
39,control,4.76,4.59
39,compatible,3.42,4.59
39,incompatible,5.58,4.59
40,control,5.85,6.1
40,compatible,5.18,6.1
40,incompatible,7.26,6.1
41,control,6.14,5.77
41,compatible,3.77,5.77
41,incompatible,7.39,5.77
42,control,7.11,6.91
42,compatible,6.32,6.91
42,incompatible,7.31,6.91
43,control,7,7.13
43,compatible,6.4,7.13
43,incompatible,8,7.13
44,control,5,4.77
44,compatible,3.5,4.77
44,incompatible,5.8,4.77
45,control,4.5,5.17
45,compatible,3,5.17
45,incompatible,8,5.17
46,control,7,6
46,compatible,6,6
46,incompatible,5,6
47,control,6.83,6.16
47,compatible,3.92,6.16
47,incompatible,7.72,6.16
48,control,4,4
48,compatible,3,4
48,incompatible,5,4
49,control,5,5.33
49,compatible,5,5.33
49,incompatible,6,5.33
50,control,6,6
50,compatible,4,6
50,incompatible,8,6
51,control,4,4.67
51,compatible,4,4.67
51,incompatible,6,4.67
52,control,7,5.33
52,compatible,3,5.33
52,incompatible,6,5.33
53,control,4.87,5.01
53,compatible,3.85,5.01
53,incompatible,6.3,5.01
54,control,4.79,4.88
54,compatible,3.89,4.88
54,incompatible,5.95,4.88
55,control,4.5,5.07
55,compatible,3.7,5.07
55,incompatible,7,5.07
56,control,5.5,5.9
56,compatible,5.1,5.9
56,incompatible,7.1,5.9
57,control,10,8.33
57,compatible,7,8.33
57,incompatible,8,8.33
58,control,7,5.33
58,compatible,4,5.33
58,incompatible,5,5.33
59,control,5,5.67
59,compatible,4,5.67
59,incompatible,8,5.67
60,control,15,17.67
60,compatible,14,17.67
60,incompatible,24,17.67
61,control,13,11
61,compatible,8,11
61,incompatible,12,11
62,control,12,12.33
62,compatible,15,12.33
62,incompatible,10,12.33
63,control,8,9
63,compatible,9,9
63,incompatible,10,9
64,control,6.37,6.85
64,compatible,6.49,6.85
64,incompatible,7.69,6.85
65,control,5.78,5.83
65,compatible,4.91,5.83
65,incompatible,6.8,5.83
66,control,5.24,5.54
66,compatible,2.74,5.54
66,incompatible,8.63,5.54
67,control,8,7.56
67,compatible,5.11,7.56
67,incompatible,9.58,7.56
68,control,5.24,5.89
