ResponseId,AGE,GENDER,EDUCATION,EDUCATION.rating_1,ETHNICITY,NATIVE.LANGUAGE,OTHER.LANGUAGE,ENGLISH.PROFICIENCY,OCCUPATION,SHIPLEY,HLVA,FACTOR3,mean.acc,mean.self
R_6LBCOH1wHjRiYly,56,Female,Secondary,4,Asian,English,NA,NA,Full.time,10,1,46,0.4,8.4
R_67UL0Or3ghQWOey,18,Female,Secondary,8,White,Other,"French, Ukrainian",3,Unemployed,36,11,44,0.8,9
R_2dtOtval9yb2rn0,20,Female,Secondary,9,White,English,NA,NA,Student,29,11,48,0.75,7.4
R_2HU8uiJeCx71Vsd,19,Female,Further,7,White,English,NA,NA,Student,33,8,61,0.8,7.6
R_5c0bLcj9zxFBW2y,18,Female,Further,6,White,English,NA,NA,Student,39,8,42,0.75,5
R_1PS1g4v34pBe8Xq,19,Male,Further,8,White,English,NA,NA,Student,33,10,49,0.95,7
R_1RpS5w7rZV9QCVE,19,Female,Further,6,White,English,NA,NA,Student,30,10,43,0.75,7.8
R_2IsuVlGb6iznkRz,21,Female,Further,6,White,English,NA,NA,Student,30,11,45,0.8,7.4
R_1LbdvYj047bd97i,18,Male,Further,7,White,English,NA,NA,Student,33,8,43,0.9,8.2
R_617l7qeaxVvtPlS,19,Female,Further,9,White,English,NA,NA,23,30,10,45,0.8,8.4
R_1PdvSxMAgxzzeCt,18,Female,Further,9,White,English,NA,NA,Student,30,8,49,0.85,5.8
R_1M4fENPQkhSWMud,18,Female,Further,8,White,English,NA,NA,Student,36,8,55,0.9,8.4
R_3Nz8QxyR5w836Yk,18,Female,Further,8,White,English,NA,NA,23,29,12,50,0.85,6
R_8C5MxIybIFtIqyd,19,Female,Further,7,White,English,NA,NA,23,37,8,48,0.8,6.8
R_2WSOFszkH26HVW9,18,Female,Further,6,White,English,NA,NA,Student,28,7,43,0.85,6.8
R_2iuqQTHfWRjEtA5,18,Female,Further,8,White,English,NA,NA,Student,38,6,43,0.9,8.2
R_8DwNKD9ne5HD5Qm,18,Female,Further,6,White,English,NA,NA,23,36,8,53,0.8,7.2
R_7E4IZ9XLQGQvs2e,20,Male,Further,7,Asian,English,NA,NA,Student,34,10,54,0.8,7.6
R_1sSeWfgXcOX3PuC,18,Female,Further,8,White,English,NA,NA,Student,28,7,36,0.75,7.8
R_6qWEPI6VM0ZGKRS,18,Female,Secondary,8,White,English,NA,NA,23,22,5,41,0.5,6.2
R_8AJfuHXGHNbDyEN,18,Female,Further,7,White,English,NA,NA,Student,33,12,48,0.95,7
R_5HiQY2Eyzo9VrBj,19,Non-Binary,Further,5,White,English,NA,NA,Student,36,8,49,0.85,7.2
