pID,condition,time,avg_time
1,compatible,5,5
1,incompatible,5,5
2,compatible,4,5.33
2,incompatible,6,5.33
3,compatible,4.88,5.4
3,incompatible,5.58,5.4
4,compatible,3,5.67
4,incompatible,6,5.67
5,compatible,5.55,7.07
5,incompatible,8.35,7.07
6,compatible,5.54,6.83
6,incompatible,9.96,6.83
7,compatible,5,6
7,incompatible,8,6
8,compatible,4,4.33
8,incompatible,5,4.33
9,compatible,5,7.33
9,incompatible,8,7.33
10,compatible,5,4.67
10,incompatible,5,4.67
11,compatible,5,5.67
11,incompatible,6,5.67
12,compatible,3,4.67
12,incompatible,6,4.67
13,compatible,4.85,6.25
13,incompatible,6.92,6.25
14,compatible,4.97,7.2
14,incompatible,9.92,7.2
15,compatible,8,9
15,incompatible,10,9
16,compatible,4.49,5.8
16,incompatible,7.08,5.8
17,compatible,3.33,4.59
17,incompatible,6.03,4.59
18,compatible,3.63,5.72
18,incompatible,8.18,5.72
19,compatible,3.36,4.9
19,incompatible,6.92,4.9
20,compatible,7,8
20,incompatible,9,8
21,compatible,6,7.33
21,incompatible,7,7.33
22,compatible,6,6.67
22,incompatible,9,6.67
23,compatible,7,7
23,incompatible,9,7
24,compatible,3.21,5.16
24,incompatible,7.25,5.16
25,compatible,5.23,6.01
25,incompatible,7.41,6.01
26,compatible,3.78,4.17
26,incompatible,3.83,4.17
27,compatible,4,7.33
27,incompatible,12,7.33
28,compatible,15,16
28,incompatible,15,16
29,compatible,3.24,5.99
29,incompatible,9.47,5.99
30,compatible,4,5
30,incompatible,6,5
31,compatible,4,5.67
31,incompatible,8,5.67
32,compatible,5.08,6.16
32,incompatible,7.16,6.16
33,compatible,4,6.67
33,incompatible,9,6.67
34,compatible,6,7.67
34,incompatible,9,7.67
35,compatible,3.54,4.26
35,incompatible,5.76,4.26
36,compatible,5.34,6.44
36,incompatible,7.78,6.44
37,compatible,4,5.33
37,incompatible,7,5.33
38,compatible,3.57,5.56
38,incompatible,6.37,5.56
39,compatible,3.42,4.59
39,incompatible,5.58,4.59
40,compatible,5.18,6.1
40,incompatible,7.26,6.1
41,compatible,3.77,5.77
41,incompatible,7.39,5.77
42,compatible,6.32,6.91
42,incompatible,7.31,6.91
43,compatible,6.4,7.13
43,incompatible,8,7.13
44,compatible,3.5,4.77
44,incompatible,5.8,4.77
45,compatible,3,5.17
45,incompatible,8,5.17
46,compatible,6,6
46,incompatible,5,6
47,compatible,3.92,6.16
47,incompatible,7.72,6.16
48,compatible,3,4
48,incompatible,5,4
49,compatible,5,5.33
49,incompatible,6,5.33
50,compatible,4,6
50,incompatible,8,6
51,compatible,4,4.67
51,incompatible,6,4.67
52,compatible,3,5.33
52,incompatible,6,5.33
53,compatible,3.85,5.01
53,incompatible,6.3,5.01
54,compatible,3.89,4.88
54,incompatible,5.95,4.88
55,compatible,3.7,5.07
55,incompatible,7,5.07
56,compatible,5.1,5.9
56,incompatible,7.1,5.9
57,compatible,7,8.33
57,incompatible,8,8.33
58,compatible,4,5.33
58,incompatible,5,5.33
59,compatible,4,5.67
59,incompatible,8,5.67
60,compatible,14,17.67
60,incompatible,24,17.67
61,compatible,8,11
61,incompatible,12,11
62,compatible,15,12.33
62,incompatible,10,12.33
63,compatible,9,9
63,incompatible,10,9
64,compatible,6.49,6.85
64,incompatible,7.69,6.85
65,compatible,4.91,5.83
65,incompatible,6.8,5.83
66,compatible,2.74,5.54
66,incompatible,8.63,5.54
67,compatible,5.11,7.56
67,incompatible,9.58,7.56
68,compatible,4.24,5.89
68,incompatible,8.19,5.89
69,compatible,5,6.33
69,incompatible,8,6.33
70,compatible,5,6.33
70,incompatible,8,6.33
71,compatible,3.67,7.28
71,incompatible,12.8,7.28
72,compatible,5,6.33
72,incompatible,7,6.33
73,compatible,3.64,4.35
73,incompatible,4.26,4.35
74,compatible,3.56,3.81
74,incompatible,3.55,3.81
75,compatible,6.23,6.16
75,incompatible,6.67,6.16
76,compatible,4.03,5.55
76,incompatible,6.57,5.55
77,compatible,5,8
77,incompatible,11,8
78,compatible,10,11.27
78,incompatible,12.82,11.27
79,compatible,5.41,5.95
79,incompatible,6.61,5.95
80,compatible,9,8
80,incompatible,6,8
81,compatible,2,3.33
81,incompatible,5,3.33
82,compatible,4.04,6.02
82,incompatible,9.98,6.02
83,compatible,3.41,5.53
83,incompatible,8.38,5.53
84,compatible,4.31,5.95
84,incompatible,6.71,5.95
85,compatible,3.88,5.31
85,incompatible,6.31,5.31
86,compatible,4,6
86,incompatible,8,6
87,compatible,5,6
87,incompatible,7,6
88,compatible,2,4
88,incompatible,6,4
89,compatible,3,5
89,incompatible,6,5
90,compatible,5,5.33
90,incompatible,6,5.33
91,compatible,5,6.67
91,incompatible,9,6.67
92,compatible,3,4
92,incompatible,5,4
93,compatible,7,7
93,incompatible,8,7
94,compatible,6,6.33
94,incompatible,8,6.33
95,compatible,9,9
95,incompatible,10,9
96,compatible,5.2,7.4
96,incompatible,11.2,7.4
97,compatible,4.17,5.74
97,incompatible,7.3,5.74
98,compatible,4,5.67
98,incompatible,6,5.67
99,compatible,5,11.33
99,incompatible,8,11.33
100,compatible,6,6.67
100,incompatible,9,6.67
101,compatible,3.43,4.94
101,incompatible,5.7,4.94
102,compatible,6.02,7.82
102,incompatible,9.59,7.82
103,compatible,4,6.67
103,incompatible,10,6.67
104,compatible,3,5
104,incompatible,7,5
105,compatible,4.65,6.38
105,incompatible,7.18,6.38
106,compatible,5,6.33
106,incompatible,7,6.33
107,compatible,3.24,5.18
107,incompatible,5.94,5.18
108,compatible,3.26,3.95
108,incompatible,4.81,3.95
109,compatible,4.41,5.74
109,incompatible,5.91,5.74
110,compatible,3.63,4.25
110,incompatible,4.55,4.25
111,compatible,4,8.33
111,incompatible,10,8.33
112,compatible,8.99,7.23
112,incompatible,6.37,7.23
113,compatible,3,4.33
113,incompatible,5,4.33
114,compatible,25,25
114,incompatible,30,25
115,compatible,5,6
115,incompatible,7,6
116,compatible,4,5
116,incompatible,6,5
