pID,condition,time,avg_time
1,compatible,3.49,4.61
1,incompatible,6.46,4.61
2,compatible,4,6
2,incompatible,7,6
3,compatible,5,6
3,incompatible,5,6
4,compatible,5,7.67
4,incompatible,12,7.67
5,compatible,6.79,6.61
5,incompatible,7.3,6.61
6,compatible,8,8
6,incompatible,9,8
7,compatible,6.16,6.94
7,incompatible,7.86,6.94
8,compatible,15,13.33
8,incompatible,15,13.33
9,compatible,9.83,10.83
9,incompatible,12.49,10.83
10,compatible,3.4,4.63
10,incompatible,5.74,4.63
11,compatible,5.25,5.84
11,incompatible,6.4,5.84
12,compatible,4,6.33
12,incompatible,8,6.33
13,compatible,5.16,5.55
13,incompatible,6.13,5.55
14,compatible,3,5.67
14,incompatible,7,5.67
15,compatible,5,6.67
15,incompatible,9,6.67
16,compatible,3.36,6.17
16,incompatible,8.48,6.17
17,compatible,4.8,6.31
17,incompatible,7.24,6.31
18,compatible,4,5.33
18,incompatible,7,5.33
19,compatible,5,6.33
19,incompatible,9,6.33
20,compatible,6.33,8
20,incompatible,10.67,8
21,compatible,12.5,13.43
21,incompatible,13.6,13.43
22,compatible,5,6
22,incompatible,7,6
23,compatible,3.1,6.05
23,incompatible,8.3,6.05
24,compatible,4.5,6.5
24,incompatible,7,6.5
25,compatible,5,6
25,incompatible,7,6
26,compatible,3.89,5.13
26,incompatible,6.83,5.13
27,compatible,4,5.33
27,incompatible,8,5.33
28,compatible,4,5.67
28,incompatible,7,5.67
29,compatible,5,8.67
29,incompatible,13,8.67
30,compatible,3.7,4.47
30,incompatible,5.17,4.47
31,compatible,5,7.67
31,incompatible,11,7.67
32,compatible,4.45,5.28
32,incompatible,5.29,5.28
33,compatible,7,7
33,incompatible,8,7
34,compatible,3.09,3.64
34,incompatible,4.67,3.64
35,compatible,4.2,5.41
35,incompatible,7.41,5.41
36,compatible,4,6.33
36,incompatible,7,6.33
37,compatible,5.02,6.95
37,incompatible,8.27,6.95
38,compatible,4,4.67
38,incompatible,5,4.67
39,compatible,3.86,7.4
39,incompatible,12.58,7.4
40,compatible,4,5.33
40,incompatible,6,5.33
41,compatible,4,5.67
41,incompatible,8,5.67
42,compatible,7,9
42,incompatible,12,9
43,compatible,9,8.33
43,incompatible,9,8.33
44,compatible,5,5.33
44,incompatible,6,5.33
45,compatible,6,10.33
45,incompatible,15,10.33
46,compatible,4,5.67
46,incompatible,6,5.67
47,compatible,2.96,3.64
47,incompatible,4.84,3.64
48,compatible,7.52,9.56
48,incompatible,12.5,9.56
49,compatible,2.16,3.22
49,incompatible,3.72,3.22
50,compatible,6.5,6.77
50,incompatible,7.8,6.77
51,compatible,4,6
51,incompatible,9,6
52,compatible,7.5,9.43
52,incompatible,12.8,9.43
53,compatible,7,6.67
53,incompatible,7,6.67
54,compatible,5,7
54,incompatible,9,7
55,compatible,7,11.33
55,incompatible,16,11.33
56,compatible,5,5.67
56,incompatible,7,5.67
57,compatible,3,4.33
57,incompatible,5,4.33
58,compatible,3,4.33
58,incompatible,5,4.33
59,compatible,4.13,5.72
59,incompatible,6.6,5.72
60,compatible,6,8
60,incompatible,10,8
61,compatible,10,12.33
61,incompatible,13,12.33
62,compatible,3,6.67
62,incompatible,11,6.67
63,compatible,12.01,12.26
63,incompatible,19.5,12.26
64,compatible,4.41,5.33
64,incompatible,7.66,5.33
65,compatible,4,6.33
65,incompatible,8,6.33
66,compatible,6.92,7.65
66,incompatible,8.27,7.65
67,compatible,5,6.33
67,incompatible,8,6.33
68,compatible,7,8
68,incompatible,9,8
69,compatible,4.36,4.95
69,incompatible,5.52,4.95
70,compatible,5,7
70,incompatible,9,7
